Name,Street League Wins,TOP 3 Finish SLS,X-Games Wins,Olympics 2020,World Championship Gold,World Championship Silver,World Championship Bronze,Dew Tour,Nation
Shane O' Neil,2,1,1,,1,2,,,Australia
Chris Cole,1,3,,,1,1,1,,USA
Nyjah Huston,5,6,6,,6,5,,1,USA
Chaz Ortiz,,1,,,,,1,,USA
Ryan Sheckler,,,,,,,,1,USA
Paul Rodriguez,,,,,,,,,USA
Sean Malto,1,,,,1,,1,,USA
Torey Pudwill,,1,,,,1,,,USA
Luan de Oliveira,,2,,,,,2,,Brazil
Ryan Decenzo,,,1,,,,,,Canada
Ishod Wair,1,1,,,,,,,USA
Kevin Hoefler,1,2,1,SILVER,1,1,1,1,Brazil
Yuto Horigome,1,2,3,GOLD,1,1,1,1,Japan
Dashawn Jordan,1,2,1,,,,,,USA
Gustavo Ribeiro,,2,,,,1,1,1,Portugal
Jagger Eaton,1,,1,,,,,,USA
Chris Joslin,,1,,,,,,,USA
Milton Martinez,,1,,,,,,,Argentina
Cody McEntire,,1,,,,,1,,USA
Sora Shirai,,1,,,1,,1,,Japan
Felipe Gustavo,1,,,,,,1,,Brazil
Alec Majerus,,,1,,,,,,USA
Aurelien Giraud,,,,,1,,,1,France
Kairi Netsuke,,,,,,1,,,Japan
Ginwoo Onodera,,,,,,,1,,Japan
